–Á•¿–¼,Ticker
Q2 HOLDINGS INC,QTWO
INVENTRUST PROPERTIES CORP,IVT
PEOPLE INC,PPLI
SSI US GOV MONEY MARKET CLASS,-
BOISE CASCADE CO,BCC
TRUSTMARK CORP,TRMK
WARBY PARKER INC CLASS A,WRBY
ST JOE CO/THE,JOE
DIGI INTERNATIONAL INC,DGII
RINGCENTRAL INC CLASS A,RNG
ABM INDUSTRIES INC,ABM
SUPERNUS PHARMACEUTICALS INC,SUPN
INGEVITY CORP,NGVT
PAR PACIFIC HOLDINGS INC,PARR
CRESCENT ENERGY INC A,CRGY
SIX FLAGS ENTERTAINMENT CORP,FUN
ARTISAN PARTNERS ASSET MA  A,APAM
NATIONAL HEALTHCARE CORP,NHC
DIAMONDROCK HOSPITALITY CO,DRH
FIRST BANCORP/NC,FBNC
CALLAWAY GOLF COMPANY,CALY
BEACON FINANCIAL CORP,BBT
PDF SOLUTIONS INC,PDFS
DNOW INC,DNOW
MINERALS TECHNOLOGIES INC,MTX
WERNER ENTERPRISES INC,WERN
HNI CORP,HNI
KINETIK HOLDINGS INC,KNTK
N B T BANCORP INC,NBTB
PELOTON INTERACTIVE INC A,PTON
ANDERSONS INC/THE,ANDE
A10 NETWORKS INC,ATEN
SHAKE SHACK INC   CLASS A,SHAK
CUSTOMERS BANCORP INC,CUBI
LIVERAMP HOLDINGS INC,RAMP
SIRIUSPOINT LTD,SPNT
BANCORP INC/THE,TBBK
BANCFIRST CORP,BANF
WISDOMTREE INC,WT
ACADIA HEALTHCARE CO INC,ACHC
CARGURUS INC,CARG
ALLEGIANT TRAVEL CO,ALGT
GREEN BRICK PARTNERS INC,GRBK
HAWAIIAN ELECTRIC INDS,HE
AGILYSYS INC,AGYS
LCI INDUSTRIES,LCII
H2O AMERICA,HTO
PRESTIGE CONSUMER HEALTHCARE,PBH
WESTERN UNION CO,WU
MEDICAL PROPERTIES TRUST INC,MPT
SUNSTONE HOTEL INVESTORS INC,SHO
CALIX INC,CALX
BANNER CORPORATION,BANR
ALARM.COM HOLDINGS INC,ALRM
DXP ENTERPRISES INC,DXPE
PITNEY BOWES INC,PBI
PEBBLEBROOK HOTEL TRUST,PEB
FB FINANCIAL CORP,FBK
UNITI GROUP INC,UNIT
EPLUS INC,PLUS
ARCUS BIOSCIENCES INC,RCUS
WAYSTAR HOLDING CORP,WAY
NORTHWEST BANCSHARES INC,NWBI
NEWELL BRANDS INC,NWL
NORTHWEST NATURAL HOLDING CO,NWN
ARMOUR RESIDENTIAL REIT INC,ARR
COHEN + STEERS INC,CNS
QUAKER CHEMICAL CORPORATION,KWR
LIFESTANCE HEALTH GROUP INC,LFST
VERICEL CORP,VCEL
UNIVERSAL TECHNICAL INSTITUT,UTI
INNOSPEC INC,IOSP
NORTHERN OIL AND GAS INC,NOG
NEOGEN CORP,NEOG
STEWART INFORMATION SERVICES,STC
ALBANY INTL CORP CL A,AIN
